Brand,Model,Kms,License,Year,Capacity,Type,Price
TRIUMPH,SPEED Triple R promo,36000,A,2016,0,NAKED,5880
SYM,Maxsym 600i ABS promo,4000,A / A2,2020,0,MAXI-SCOOTER,5880
SYM,Maxsym 600i ABS promo,2514,A / A2,2019,0,MAXI-SCOOTER,5880
YAMAHA,FJR 1300 A promo,48000,A,2014,0,TOURING,5880
PEUGEOT,Metropolis 400 promo,20000,A2,2018,0,TRES RUEDAS,5880
HONDA,VFR 1200 F DCT promo,97000,A,2010,0,TOURING,5880
KAWASAKI,Z 1000 SX promo,55000,A,2012,0,TOURING,5880
APRILIA,Shiver 750 GT promo,23000,A,2015,0,NAKED,5880
HONDA,SCOOPY SH300i promo,54000,A2,2015,0,MAXI-SCOOTER,5880
MOTO GUZZI,V9 Roamer promo,0,A,2021,0,NAKED,5880
MOTO GUZZI,V7 III Stone promo,19000,A,2017,0,CUSTOM,5880
YAMAHA,MT 01 promo,32000,A,2005,0,NAKED,5880
ROYAL ENFIELD,Meteor 350 promo,5000,A2,2021,0,NAKED,5880
HUSQVARNA,701 Supermoto promo,25000,A,2016,0,NAKED,5880
TRIUMPH,Street Triple R x promo,42000,A,2015,0,NAKED,5880
HONDA,PAN-EUROPEAN ST 1300 promo,50000,A,2004,0,TOURING,5880
KTM,1050 Adventure promo,44000,A,2016,0,TRAIL,5880
KAWASAKI,Z 1000 SX promo,42000,A,2013,0,TOURING,5880
DUCATI,DIAVEL Dark promo,14600,A,2013,0,NAKED,5880
YAMAHA,FJR 1300 A promo,48000,A,2015,0,TOURING,5880
PEUGEOT,Metropolis 400 RX-R promo,8000,A2,2017,0,TRES RUEDAS,5880
HONDA,VFR 1200 F promo,77000,A,2010,0,TOURING,5880
BMW,K 1200 LT promo,43000,A,2004,0,TOURING,5880
DUCATI,Multistrada 1260 S promo,78000,A,2018,0,TRAIL,5880
BMW,F 800 GT promo,46000,A,2015,0,TOURING,5880
HONDA,CRF 450 L promo,4000,A2,2020,0,OFF-ROAD,5880
DUCATI,Streetfighter 1100 promo,27000,A,2009,0,NAKED,5880
HUSQVARNA,Svartpilen 701 promo,2000,A,2020,0,NAKED,5880
HUSQVARNA,Vitpilen 701 promo,7000,A,2018,0,NAKED,5880
KAWASAKI,Z 1000 SX promo,63000,A,2014,0,TOURING,5880
KAWASAKI,Z 750 promo,52000,A,2006,0,TOURING,5880
APRILIA,SMV 750 Dorsoduro ABS promo,12000,A,2010,0,NAKED,5880
BMW,K 1200 R Sport promo,40000,A,2009,0,TOURING,5880
YAMAHA,X-MAX 400 promo,20000,A2,2018,0,MAXI-SCOOTER,5880
SUZUKI,Intruder C1500 promo,11000,A,2008,0,CUSTOM,5880
BMW,K 1300 R promo,139114,A,2010,0,NAKED,5880
BMW,F 700 GS promo,31000,A,2012,0,TRAIL,5880
BMW,R 850 R promo,33000,A,2005,0,NAKED,5880
DUCATI,MONSTER S2R 800 promo,40000,A,2005,0,NAKED,5880
KTM,EXC 300,200,A2,2009,0,OFF-ROAD,5880
BMW,R 1200 S promo,54000,A,2007,0,TOURING,8380
BMW,F 800 ST promo,8000,A,2006,0,TOURING,8380
HONDA,SCOOPY SH300i promo,45000,A2,2010,0,SCOOTER,8380
KYMCO,AK 550 promo,12000,A / A2,2017,0,MAXI-SCOOTER,8380
BMW,R 1200 S promo,49000,A,2008,0,TOURING,8380
BMW,R 850 R promo,43000,A,2004,0,NAKED,8380
YAMAHA,Super Ténéré promo,67000,A,2017,0,TRAIL,8380
SUZUKI,GSX R600 promo,50400,A,2001,0,SPORT,8380
BMW,K 1200 S promo,60000,A,2005,0,TOURING,8380
TRIUMPH,STREET TRIPLE RS promo,6000,A,2018,0,NAKED,8380
BMW,F 800 ST promo,29000,A,2007,0,TOURING,8380
TRIUMPH,STREET TRIPLE R promo,7057,A,2021,0,NAKED,8380
KAWASAKI,ZX 10R KRT promo,14000,A,2019,0,SPORT,8380
TRIUMPH,STREET TRIPLE R promo,2250,A,2021,0,NAKED,8380
BMW,R 1250 R promo,8600,A,2020,0,NAKED,8380
HONDA,CBF 600S promo,19000,A,2004,0,TOURING,8380
BMW,S 1000 XR promo,14000,A,2017,0,TRAIL,8380
DUCATI,MONSTER S2R 800 promo,25000,A,2006,0,NAKED,8380
SUZUKI,GSX-S125 ABS promo,11000,A1,2019,0,NAKED,8380
KAWASAKI,Z 1000 SX promo,72000,A,2011,0,TOURING,8380
HARLEY DAVIDSON,Sportster 1200 promo,26000,A,2006,0,CUSTOM,8380
SUZUKI,Intruder C800 promo,14000,A,2010,0,CUSTOM,8380
TRIUMPH,STREET TRIPLE R promo,9000,A,2019,0,NAKED,8380
HARLEY DAVIDSON,Sportster XR 1200 promo,18000,A,2008,0,CUSTOM,8380
YAMAHA,MT 09 promo,13000,A,2020,0,NAKED,8380
KTM,1090 Adventure R promo,31000,A,2017,0,TRAIL,8380
KAWASAKI,ZX 6R promo,52000,A,2008,0,SPORT,8380
MV AGUSTA,BRUTALE 800 EAS ABS promo,33000,A,2016,0,NAKED,8380
HONDA,CB 500F promo,20000,A / A2,2013,0,NAKED,8380
TRIUMPH,SPEED Four promo,17000,A,2006,0,NAKED,8380
TRIUMPH,Speed Triple S promo,5000,A,2017,0,NAKED,8380
BMW,K 1200 GT,27000,A,2003,0,TOURING,8380
BMW,C 650 GT promo,27000,A / A2,2015,0,MAXI-SCOOTER,8380
DUCATI,DIAVEL 1198 promo,48000,A,2011,0,CUSTOM,8380
TRIUMPH,TIGER Explorer 1200 XCA promo,8000,A,2016,0,TRAIL,8380
HONDA,VFR 800 FI promo,50000,A,2011,0,MAXI-SCOOTER,8380
KTM,1190 Adventure promo,50000,A,2014,0,TRAIL,8380
YAMAHA,XJR 1300 promo,18600,A,2016,0,NAKED,8380
HONDA,Integra promo,20000,A,2016,0,MAXI-SCOOTER,8380
BMW,K 1200 R Sport promo,45000,A,2008,0,SPORT,8380
BMW,R nineT promo,26000,A,2016,0,NAKED,8380
APRILIA,Shiver 750 promo,38400,A,2010,0,NAKED,8380
KTM,990 SUPER DUKE promo,36400,A,2011,0,NAKED,8380
SUZUKI,GSX R1000 promo,49000,A,2007,0,SPORT,8380
HONDA,Integra promo,17800,A,2017,0,MAXI-SCOOTER,8380
KYMCO,Super Dink 350i promo,35200,A2,2019,0,MAXI-SCOOTER,8380
TRIUMPH,Thruxton EFI promo,55000,A,2008,0,NAKED,8380
KTM,1290 Super Duke R ABS promo,44000,A,2015,0,NAKED,8380
GAS GAS,EC 250 R promo,950,A2,2019,0,OFF-ROAD,8380
APRILIA,Sportcity 125 promo,35300,A1,2009,0,SCOOTER,8380
BMW,F 800 S promo,40000,A,2009,0,TOURING,8380
SUZUKI,Intruder C800 promo,27000,A,2010,0,CUSTOM,8380
TRIUMPH,SPEED TRIPLE ABS promo,40000,A,2013,0,NAKED,8380
DUCATI,MULTISTRADA 620 promo,38000,A / A2,2007,0,TRAIL,8380
KTM,1050 Adventure,34000,A,2016,0,TRAIL,8380
YAMAHA,X MAX 400 promo,29000,A2,2014,0,MAXI-SCOOTER,7880
HONDA,CBR 1000 RR Fireblade promo,32000,A,2017,0,SPORT,7880
HONDA,VFR 1200 F promo,61000,A,2012,0,TOURING,7880
YAMAHA,MT 03 promo,23000,A / A2,2006,0,NAKED,7880
BMW,F 800 GS Adventure,64200,A,2018,0,TRAIL,7880
BMW,R 1250 RT promo,4000,A,2020,0,TOURING,7080
KTM,1290 Super Adventure R promo,52000,A,2017,0,TRAIL,7080
HONDA,Crossrunner VFR800X promo,28000,A,2016,0,TRAIL,7080
SYM,Fiddle III promo,2000,AM,2018,0,SCOOTER,7080
DUCATI,MONSTER 796 promo,29000,A / A2,2014,0,NAKED,7080
HONDA,Forza 125 promo,13000,A1,2017,0,SCOOTER,7080
VESPA,GTS 300 Super promo,26000,A2,2009,0,MAXI-SCOOTER,7080
APRILIA,RSV 4 R APRC promo,35000,A,2014,0,SPORT,7080
HONDA,CBF 1000 promo,58000,A,2008,0,NAKED,7080
SUZUKI,GSX250R/ABS promo,2000,A2,2018,0,SPORT,7080
TRIUMPH,BONNEVILLE SE promo,35000,A,2009,0,NAKED,7080
YAMAHA,YZF R 125 promo,9000,A1,2020,0,SPORT,7080
BMW,C 650 GT promo,25000,A,2015,0,MAXI-SCOOTER,7080
BMW,F 700 GS promo,35500,A,2015,0,TRAIL,7080
KYMCO,AK 550 promo,36800,A2,2017,0,MAXI-SCOOTER,7080
BMW,F 800 GS promo,34200,A,2012,0,TRAIL,7080
PIAGGIO,Beverly 350 ABS promo,70,A2,2021,0,MAXI-SCOOTER,7080
YAMAHA,TMAX 560 TECH MAX promo,12000,A / A2,2020,0,MAXI-SCOOTER,7080
DUCATI,MONSTER 796 promo,5000,A,2011,0,NAKED,7080
KTM,990 SUPER DUKE promo,38000,A,2006,0,NAKED,7080
KTM,125 Duke promo,12000,A1,2020,0,NAKED,7080
BMW,C 600 Sport promo,34000,A / A2,2013,0,MAXI-SCOOTER,7080
TRIUMPH,STREET TRIPLE S 660,6000,A / A2,2017,0,NAKED,7080
PIAGGIO,beverly 300 ie promo,36000,A2,2011,0,MAXI-SCOOTER,5180
KAWASAKI,Z 900 promo,25000,A,2018,0,NAKED,5180
SUZUKI,GSR 750 promo,18000,A,2012,0,NAKED,5180
TRIUMPH,TIGER 800 promo,51000,A,2015,0,TRAIL,5180
HONDA,CBR 1000RR promo,47000,A,2008,0,SPORT,5180
BMW,F 800 GS promo,4500,A,2015,0,TRAIL,5180
HONDA,Integra promo,13000,A / A2,2017,0,TRAIL,5180
TRIUMPH,Thruxton EFI promo,16000,A / A2,2015,0,NAKED,5180
DUCATI,SuperSport,8000,A,2018,0,SPORT,5180
HONDA,CB 1000R promo,17000,A,2018,0,NAKED,5180
BMW,K 1200 R,45500,A,2005,0,SPORT,5180
BMW,F 800 R promo,40200,A,2010,0,NAKED,4130
SUZUKI,GSX 650 F promo,27000,A / A2,2011,0,TOURING,4130
DUCATI,Diavel promo,43000,A,2015,0,CUSTOM,4130
SYM,Maxsym 600i ABS,21500,A,2017,0,MAXI-SCOOTER,4130
YAMAHA,YZF R1 promo,50000,A,2011,0,SPORT,2630
DUCATI,MULTISTRADA 1200 promo,46000,A,2010,0,TRAIL,2630
HONDA,CBR 1000RR Fireblade promo,12000,A,2011,0,SPORT,2630
KYMCO,AK 550 promo,8000,A / A2,2019,0,MAXI-SCOOTER,2630
YAMAHA,FJR 1300 AE promo,3000,A,2019,0,TOURING,2630
YAMAHA,FZ6 N,29000,A,2005,0,NAKED,2630
MOTO GUZZI,V7 III Stone,1000,A / A2,2021,0,NAKED,2880
BMW,F 700 GS promo,20000,A,2017,0,TRAIL,2880
BMW,F 800 GS promo,58000,A,2014,0,TRAIL,2880
KAWASAKI,Z 800e promo,50000,A,2013,0,NAKED,2880
TRIUMPH,DAYTONA 600 promo,23000,A,2005,0,SPORT,2880
KTM,300 EXC,11000,A2,2018,0,OFF-ROAD,2880
KTM,790 Duke promo,13000,A,2018,0,NAKED,2880
HONDA,CBF 600S promo,37000,A,2005,0,TOURING,2880
HARLEY DAVIDSON,VRSC V-Rod Muscle promo,29000,A,2009,0,CUSTOM,2880
TRIUMPH,BONNEVILLE T100 promo,80000,A,2008,0,NAKED,2880
DUCATI,848 Superbike promo,51000,A,2008,0,SPORT,2880
KTM,1050 Adventure promo,19000,A,2015,0,TRAIL,2880
KAWASAKI,ZZR 1400 promo,51000,A,2006,0,SPORT,2880
DUCATI,Hyperstrada promo,29000,A,2015,0,TRAIL,2880
HONDA,CBF 600S,23000,A,2006,0,NAKED,2880
KYMCO,Grand Dink 125,5000,A1,2017,0,SCOOTER,2880
DUCATI,Hypermotard 939 promo,23000,A,2016,0,OFF-ROAD,4080
TRIUMPH,TIGER Explorer 1200 XC promo,21000,A,2016,0,TRAIL,4080
YAMAHA,X-MAX 125,5800,A1,2018,0,SCOOTER,4080
TRIUMPH,SPEED Triple R promo,38000,A,2012,0,NAKED,3030
YAMAHA,YZF R6R promo,46000,A,2007,0,SPORT,3030
HONDA,CBR 600F,36300,A,2005,0,SPORT,3030
BMW,R 1200 R promo,12400,A,2019,0,SPORT,2880
YAMAHA,FZ6 S ABS,29300,A,2007,0,TOURING,2880
SUZUKI,GSX 650 F,45000,A,2008,0,TOURING,3230
BMW,F 800 GS Adventure,47000,A,2015,0,TRAIL,8480
APRILIA,Tuono 125,12200,A1,2019,0,NAKED,3180
HONDA,Forza 125,25000,A1,2016,0,SCOOTER,3380
YAMAHA,YZF R1,40000,A,2006,0,SPORT,6180
TRIUMPH,Tiger 800 XR X promo,17100,A,2017,0,TRAIL,6880
KAWASAKI,GTR 1400,60600,A,2007,0,TOURING,6880
DUCATI,MONSTER S2R 800 promo,35600,A,2005,0,NAKED,4880
HONDA,NC 750 S DTC ABS,43400,A,2016,0,TRAIL,4880
KYMCO,Like 125,9100,A1,2016,0,SCOOTER,1530
MV AGUSTA,BRUTALE 750S,27000,A,2005,0,NAKED,5080
TRIUMPH,TIGER Explorer 1200 XR,23000,A,2016,0,TRAIL,12080
YAMAHA,MT10 promo,5000,A,2021,0,NAKED,4380
HUSABERG,TE 250,8000,A2,2012,0,OFF-ROAD,4380
TRIUMPH,Bonneville Speedmaster promo,2000,A,2019,0,CUSTOM,5080
SYM,Maxsym 600i ABS promo,31000,A / A2,2017,0,MAXI-SCOOTER,5080
YAMAHA,MT 01,54500,A,2007,0,NAKED,5080
BMW,F 700 GS promo,44000,A,2013,0,TRAIL,5080
TRIUMPH,SPEED TRIPLE,77000,A,2011,0,NAKED,5080
HONDA,CBR 600 RR,30800,A,2004,0,SPORT,3630
HONDA,CBR 1100 XX promo,64200,A,2003,0,SPORT,5280
HONDA,NC 750 X DCT,73000,A / A2,2018,0,TRAIL,5280
BMW,R 1200 GS promo,52000,A,2010,0,TRAIL,2280
PIAGGIO,MP3 350 ABS/ASR promo,900,A / A2,2021,0,TRES RUEDAS,2280
KYMCO,Grand Dink 125,40000,A1,2017,0,SCOOTER,2280
ZONTES,X-310,800,A2,2020,0,TRAIL,3780
HARLEY DAVIDSON,VRSCA V-Rod Screaming Eagle promo,7900,A,2002,0,CUSTOM,8180
KAWASAKI,Z 900,2700,A2,2020,0,NAKED,8180
HONDA,CBR 600 RR,54400,A,2005,0,SPORT,3880
SUZUKI,Marauder 250 promo,17000,A2,2005,0,CUSTOM,5930
HONDA,CBF 600S promo,75000,A,2006,0,TOURING,5930
YAMAHA,V-Max 1200,58000,A,1992,0,CUSTOM,5930
YAMAHA,YZF R1 promo,26000,A,2005,0,SPORT,4930
KAWASAKI,VN VULCAN 800 CLASIC,30700,A,2005,0,CUSTOM,4930
DUCATI,MONSTER 796,48000,A,2012,0,NAKED,4930
VESPA,S 125 ie,14500,A1,2010,0,SCOOTER,2330
PEUGEOT,Django50Heritage promo,2000,AM,2020,0,SCOOTER,4430
MV AGUSTA,BRUTALE 800 RR promo,4000,A,2019,0,NAKED,4430
SUZUKI,GSX 1250 FA promo,40000,A,2010,0,TOURING,4430
YAMAHA,X MAX 400 promo,29400,A2,2015,0,MAXI-SCOOTER,4430
BMW,C 600 Sport promo,35000,A / A2,2012,0,MAXI-SCOOTER,4430
APRILIA,RSV4 RR promo,22000,A,2016,0,SPORT,4430
KAWASAKI,ZX6R promo,65000,A,2007,0,SPORT,4430
DUCATI,MONSTER796 promo,44000,A,2011,0,NAKED,4430
BMW,K1200R promo,48000,A,2007,0,TOURING,4430
TRIUMPH,ThruxtonRS promo,7000,A,2021,0,CUSTOM,4430
BMW,F 800 ST promo,33000,A,2006,0,TOURING,4430
SUZUKI,V-Strom 650,33300,A / A2,2007,0,TRAIL,4430
YAMAHA,FZ8 N,42400,A,2012,0,NAKED,4730
YAMAHA,X MAX 400 ABS,18100,A2,2015,0,MAXI-SCOOTER,5440
SUZUKI,GSR750,45000,A,2012,0,NAKED,4930
YAMAHA,X MAX 250,56800,A2,2006,0,MAXI-SCOOTER,1230
HONDA,Integra promo,49000,A,2013,0,MAXI-SCOOTER,3330
SUZUKI,GSX R600,39000,A,2005,0,SPORT,3330
BMW,C 650 Sport,16600,A,2016,0,MAXI-SCOOTER,6730
HONDA,CBF 600S,11200,A,2006,0,NAKED,3430
YAMAHA,YZF R1,50000,A,2006,0,SPORT,5330
KTM,125 Duke,3000,A1,2020,0,NAKED,4230
SUZUKI,BURGMAN 650 Executive promo,18000,A / A2,2016,0,MAXI-SCOOTER,5330
BMW,K 1200 R,33000,A,2006,0,TOURING,5330
KTM,250 EXC-F,1900,A2,2021,0,OFF-ROAD,8130
APRILIA,Tuono V4 1100 Factory promo,3000,A,2021,0,SPORT,8130
KTM,125 Duke promo,5300,A1,2020,0,NAKED,8130
SUZUKI,Hayabusa 1300 promo,32000,A,2007,0,TOURING,8130
YAMAHA,XSR900 ABS,13000,A,2019,0,NAKED,8130
BMW,F 700 GS,64200,A,2013,0,TRAIL,6130
HONDA,CB 1000R,25000,A,2008,0,NAKED,5930
SUZUKI,V-Strom 1000 ABS,25200,A,2015,0,TRAIL,8930
DUCATI,MULTISTRADA 1100,56000,A,2009,0,TRAIL,4430
HONDA,FORZA 250 X,14000,A2,2006,0,MAXI-SCOOTER,1630
BMW,K 1200 R promo,43000,A,2006,0,TOURING,7630
SUZUKI,BURGMAN 650 Executive,19000,A / A2,2017,0,MAXI-SCOOTER,7630
BMW,S 1000 RR,41000,A,2013,0,SPORT,11430
KAWASAKI,J 125,13000,A1,2017,0,SCOOTER,2830
KAWASAKI,Ninja 1000 SX,15000,A,2020,0,TOURING,12930
BMW,K 1200 S,23200,A,2008,0,TOURING,6330
HONDA,NT 700 V DEAUVILLE,51000,A,2011,0,TOURING,4630
